vorname,anzahl,geschlecht,position
Marie,13,w,2
Maria,8,w,2
Adrian,8,m,1
Emilia,8,w,1
Emma,8,w,1
Mila,8,w,1
Ali,7,m,1
Leon,7,m,1
Noah,7,m,1
Ali,6,m,2
Alina,6,w,1
Luca,6,m,1
Maja,6,w,1
Maximilian,6,m,1
Sophie,5,w,2
Clara,5,w,1
Elias,5,m,1
Elif,5,w,1
Emil,5,m,1
Sophia,5,w,1
Jonas,5,m,1
Mohammad,5,m,1
Emin,4,m,2
Anna,4,w,2
Emily,4,w,1
Ida,4,w,1
Alexander,4,m,1
Lea,4,w,1
Amir,4,m,1
Lisa,4,w,1
Anton,4,m,1
Liya,4,w,1
Ben,4,m,1
Melina,4,w,1
Daniel,4,m,1
Mia,4,w,1
Felix,4,m,1
Finn,4,m,1
Jonathan,4,m,1
Karl,4,m,1
Lukas,4,m,1
Malik,4,m,1
Milan,4,m,1
Muhammed,4,m,1
Paul,4,m,1
Yusuf,4,m,1
Luise,3,w,3
Alexander,3,m,2
Elias,3,m,2
Joel,3,m,2
Emma,3,w,2
Leonard,3,m,2
Isabell,3,w,2
Juna,3,w,2
Melek,3,w,2
Charlotte,3,w,1
Dilara,3,w,1
Finja,3,w,1
Hannah,3,w,1
Leni,3,w,1
Leonie,3,w,1
Lia,3,w,1
Sara,3,w,1
Sophie,3,w,1
Yara,3,w,1
Adam,3,m,1
Ahmet,3,m,1
Alen,3,m,1
Arthur,3,m,1
Benjamin,3,m,1
Hamza,3,m,1
Jayden,3,m,1
Joel,3,m,1
Juri,3,m,1
Leandro,3,m,1
Levi,3,m,1
Liam,3,m,1
Marlon,3,m,1
Michael,3,m,1
Mikail,3,m,1
Vincent,3,m,1
Yasin,3,m,1
Youssef,3,m,1
Junior,2,m,3
Sophia,2,w,3
Cem,2,m,2
Constantin,2,m,2
Ephraim,2,m,2
Alexandra,2,w,2
Fatih,2,m,2
Antonia,2,w,2
Friedrich,2,m,2
Daphne,2,w,2
Gabriel,2,m,2
Elisa,2,w,2
Grzegorz,2,m,2
Elisabeth,2,w,2
Johannes,2,m,2
Elise,2,w,2
Josef,2,m,2
Emily,2,w,2
Joshua,2,m,2
Eva,2,w,2
Julian,2,m,2
Grace,2,w,2
Junior,2,m,2
Jasmin,2,w,2
Leander,2,m,2
Katarzyna,2,w,2
Lucas,2,m,2
Malou,2,w,2
Mario,2,m,2
Nur,2,w,2
Martin,2,m,2
Sophia,2,w,2
Matthew,2,m,2
Valentina,2,w,2
Maximilian,2,m,2
Victoria,2,w,2
Michael,2,m,2
Zeynep,2,w,2
Nathan,2,m,2
Noel,2,m,2
Paul,2,m,2
Taha,2,m,2
Valentin,2,m,2
Abby,2,w,1
Alicia,2,w,1
Amelia,2,w,1
Amelie,2,w,1
Asya,2,w,1
Daniela,2,w,1
Eda,2,w,1
Elena,2,w,1
Elisa,2,w,1
Elise,2,w,1
Emelie,2,w,1
Erva,2,w,1
Esma,2,w,1
Eva,2,w,1
Fatima,2,w,1
Greta,2,w,1
Hanna,2,w,1
Helena,2,w,1
Adem,2,m,1
Isabella,2,w,1
Ahmed,2,m,1
Jamila,2,w,1
Alan,2,m,1
Johanna,2,w,1
Alessio,2,m,1
Julia,2,w,1
Arda,2,m,1
Karolina,2,w,1
Atakan,2,m,1
Kim,2,w,1
Can,2,m,1
Klara,2,w,1
Charlie,2,m,1
Lara,2,w,1
David,2,m,1
Larissa,2,w,1
Dominik,2,m,1
Leen,2,w,1
Ebubekir,2,m,1
Leyla,2,w,1
Elyas,2,m,1
Lilly,2,w,1
Emilio,2,m,1
Lina,2,w,1
Emir,2,m,1
Louisa,2,w,1
Erik,2,m,1
Lucy,2,w,1
Finnley,2,m,1
Luna,2,w,1
Fynn,2,m,1
Mara,2,w,1
Gabriel,2,m,1
Maria,2,w,1
Hassan,2,m,1
Marie,2,w,1
Ibrahim,2,m,1
Marla,2,w,1
Ilay,2,m,1
Merjem,2,w,1
Ismail,2,m,1
Meryem,2,w,1
Jakob,2,m,1
Mira,2,w,1
Jamal,2,m,1
Naya,2,w,1
Jan,2,m,1
Nayla,2,w,1
Jan-Erik,2,m,1
Nela,2,w,1
John,2,m,1
Nele,2,w,1
Joshua,2,m,1
Nora,2,w,1
Justus,2,m,1
Paula,2,w,1
Leander,2,m,1
Tala,2,w,1
Lennard,2,m,1
Tuana,2,w,1
Lennox,2,m,1
Victoria,2,w,1
Leonardo,2,m,1
Viktoria,2,w,1
Lion,2,m,1
Wiktoria,2,w,1
Luan,2,m,1
Yağmur,2,w,1
Luis,2,m,1
Zara,2,w,1
Mario,2,m,1
Zeliha,2,w,1
Mark,2,m,1
Mateo,2,m,1
Maxim,2,m,1
Mehmet,2,m,1
Miran,2,m,1
Nico,2,m,1
Niklas,2,m,1
Noyan,2,m,1
Oliver,2,m,1
Philipp,2,m,1
Poyraz,2,m,1
Rayan,2,m,1
Richard,2,m,1
Samuel,2,m,1
Serkan,2,m,1
Simon,2,m,1
Theodor,2,m,1
Wiktor,2,m,1
Yiğit,2,m,1
Ömer,2,m,1
